SHOP_CODE,EQPT,AGENCY_CODE,DELAY_FREQ,REMARKS_CATEGORY,DELAY_DURN,MONTH,SEASON
5,F/C-2,MIS,1.0,Others,3.4,3,Summer
8,MILL,S,1.0,Others,0.45,3,Summer
4,M/C-2,ID,1.0,Operational Delay,5.0,3,Summer
2,OT-1,C,1.0,Production Change,0.2,3,Summer
2,OT-3,MIS,1.0,Operational Delay,10.4,3,Summer
2,OT-1,MIS,0.0,Others,0.0,3,Summer
1,CT-1,ID,1.0,Operational Delay,1.0,3,Summer
1,CT-2,ID,1.0,Operational Delay,2.05,3,Summer
1,CT-2,C,1.0,Others,0.2,3,Summer
4,M/C-2,MIS,1.0,Conveyor Failure,0.3,3,Summer
4,M/C-2,M,1.0,Others,0.25,3,Summer
6,CONV-A,O,1.0,Others,1.0,3,Summer
5,F/C-2,O,1.0,Others,1.15,3,Summer
6,CCM-2,O,1.0,Others,3.1,3,Summer
9,MILL,C,1.0,Production Change,0.15,3,Summer
10,GETS,S,1.0,Others,4.35,3,Summer
3,CPP,M,1.0,Others,3.5,3,Summer
5,F/C-1,O,1.0,Others,0.5,3,Summer
8,MILL,S,1.0,Others,0.1,3,Summer
9,MILL,MIS,0.0,Others,0.0,3,Summer
8,MILL,C,1.0,Maintenance,0.2,3,Summer
6,CONV-A,O,1.0,Others,1.1,3,Summer
9,MILL,C,1.0,Production Change,1.0,3,Summer
5,F/C-2,O,1.0,Others,0.5,3,Summer
6,CONV-C,SD,1.0,Shutdown,24.0,3,Summer
8,MILL,O,1.0,Others,0.35,3,Summer
4,BRC,M,1.0,Others,1.0,3,Summer
1,CT-1,ID,1.0,Operational Delay,18.5,3,Summer
6,CONV-A,O,1.0,Others,1.1,3,Summer
6,CONV-A,O,1.0,Others,0.3,3,Summer
6,MIXER-1,SD,1.0,Shutdown,13.3,3,Summer
1,CT-2,ID,1.0,Operational Delay,1.15,3,Summer
2,OT-1,O,1.0,Others,1.45,3,Summer
5,F/C-2,O,1.0,Others,1.0,3,Summer
6,CCM-6,MIS,0.0,Others,0.0,3,Summer
6,CONV-B,MIS,0.0,Others,0.0,3,Summer
6,CONV-C,MIS,0.0,Others,0.0,3,Summer
6,CCM-1,MIS,0.0,Others,0.0,3,Summer
6,CCM-2,MIS,0.0,Others,0.0,3,Summer
